lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"July 14, 2025","3,067,827","63,645","63,645",University College London,,ZA,South Africa,won,won,London,United Kingdom,engaged,false,false,
"September 14, 2025","3,230,787","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"October 3, 2025","3,265,958","63,645","63,645",University College London,,GB,United Kingdom,opportunity,Processing,London,United Kingdom,follow_up_later,false,false,
"August 19, 2025","3,156,409","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 16, 2025","3,147,464","63,645","63,645",University College London,Parent lead already present,CN,China,lost,lost,London,United Kingdom,repeat,true,true,
"September 2, 2025","3,198,325","63,645","63,645",University College London,Booked on Campus,FR,France,lost,lost,London,United Kingdom,not_booked,false,false,
"July 23, 2025","3,085,989","63,645","63,645",University College London,Not responded,AZ,Azerbaijan,lost,lost,London,United Kingdom,not_booked,false,false,
"September 11, 2025","3,223,910","63,645","63,645",University College London,Parent lead already present,AU,Australia,lost,lost,London,United Kingdom,repeat,true,true,
"August 19, 2025","3,157,898","63,645","63,645",University College London,Booked directly on the property website,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,true,
"September 4, 2025","3,205,102","63,645","63,645",University College London,Booked directly on the property website,GB,United Kingdom,lost,lost,Wembley,United Kingdom,not_booked,false,false,
"August 11, 2025","3,129,866","63,645","63,645",University College London,,GB,United Kingdom,won,won,London,United Kingdom,booked,false,false,
"July 30, 2025","3,102,435","63,645","63,645",University College London,Parent lead already present,CO,Colombia,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,233,503","63,645","63,645",University College London,Parent lead already present,ZA,South Africa,lost,lost,London,United Kingdom,repeat,true,true,
"September 1, 2025","3,195,693","63,645","63,645",University College London,Booked directly on the property website,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,true,
"September 23, 2025","3,249,154","63,645","63,645",University College London,Booked a private accommodation,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 25, 2025","3,176,554","63,645","63,645",University College London,Property/Room type got sold out,US,United States,lost,lost,London,United Kingdom,not_booked,false,false,
"August 3, 2025","3,110,598","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 27, 2025","3,183,905","63,645","63,645",University College London,Short Stay,SA,Saudi Arabia,lost,lost,London,United Kingdom,not_booked,false,true,
"July 31, 2025","3,104,860","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"August 28, 2025","3,185,844","63,645","63,645",University College London,Parent lead already present,EG,Egypt,lost,lost,London,United Kingdom,repeat,true,true,
"September 2, 2025","3,199,282","63,645","63,645",University College London,Repeat lead,PH,Philippines,lost,lost,London,United Kingdom,repeat,false,true,
"August 14, 2025","3,138,303","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 15, 2025","3,232,983","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 2, 2025","3,109,767","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"August 20, 2025","3,162,970","63,645","63,645",University College London,Parent lead already present,KR,"Korea, Republic of",lost,lost,London,United Kingdom,repeat,true,true,
"September 11, 2025","3,223,588","63,645","63,645",University College London,Not responded,CN,China,lost,lost,London,United Kingdom,not_booked,false,false,
"July 30, 2025","3,102,064","63,645","63,645",University College London,Parent lead already present,ID,Indonesia,lost,lost,London,United Kingdom,repeat,true,true,
"August 3, 2025","3,110,777","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 18, 2025","3,240,424","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 4, 2025","3,204,113","63,645","63,645",University College London,,US,United States,won,won,London,United Kingdom,booked,false,true,
"September 1, 2025","3,197,673","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,London,United Kingdom,repeat,true,true,
"August 28, 2025","3,185,026","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 12, 2025","3,225,254","63,645","63,645",University College London,Parent lead already present,VN,Viet Nam,lost,lost,London,United Kingdom,repeat,true,true,
"August 18, 2025","3,155,232","63,645","63,645",University College London,Parent lead already present,CO,Colombia,lost,lost,London,United Kingdom,repeat,true,true,
"October 3, 2025","3,265,970","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 6, 2025","3,119,613","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 26, 2025","3,178,570","63,645","63,645",University College London,Personal issues,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"July 29, 2025","3,099,887","63,645","63,645",University College London,Parent lead already present,MY,Malaysia,lost,lost,London,United Kingdom,repeat,true,true,
"July 28, 2025","3,097,189","63,645","63,645",University College London,Parent lead already present,KZ,Kazakhstan,lost,lost,London,United Kingdom,repeat,true,true,
"September 4, 2025","3,204,822","63,645","63,645",University College London,Parent lead already present,AE,United Arab Emirates,lost,lost,London,United Kingdom,repeat,true,true,
